nounId,nominative,genitive,transformationType,isSlender,syllableCount,nomSuffix,genSuffix,has ea
2345,"áiféis","áiféise","+e",true,2,"s","se","no"
2365,"áirc","áirce","+e",true,1,"c","ce","no"
2374,"áirithint","áirithinte","+e",true,3,"t","te","no"
2379,"áis","áise","+e",true,1,"s","se","no"
2384,"áit","áite","+e",true,1,"t","te","no"
2388,"áith","áithe","+e",true,1,"h","he","no"
2406,"ámóg","ámóige","palatalized alt + e",false,2,"óg","óige","no"
2421,"áraslann","áraslainne","palatalized alt + e",false,3,"ann","ainne","no"
2454,"bacainn","bacainne","+e",true,2,"n","ne","no"
2460,"bachall","bachaille","palatalized alt + e",false,2,"all","aille","no"
2461,"bachlóg","bachlóige","palatalized alt + e",false,2,"óg","óige","no"
2464,"baclainn","baclainne","+e",true,2,"n","ne","no"
2474,"badhbh","baidhbhe","palatalized alt + e",false,1,"adhbh","aidhbhe","no"
2493,"bail","baile","+e",true,1,"l","le","no"
2496,"bailc","bailce","+e",true,1,"c","ce","no"
2498,"bailchríoch","bailchríche","palatalized alt + e",false,2,"íoch","íche","no"
2522,"bainis","bainise","+e",true,2,"s","se","no"
2532,"baint","bainte","+e",true,1,"t","te","no"
2534,"baintreach","baintrí","í",false,2,"reach","rí","yes"
2554,"baisc","baisce","+e",true,1,"c","ce","no"
2560,"baisleac","baislice","palatalized + e",false,2,"leac","lice","yes"
2564,"baistealann","baistealainne","palatalized alt + e",false,3,"ann","ainne","no"
2566,"baithis","baithise","+e",true,2,"s","se","no"
2568,"baitíc","baitíce","+e",true,2,"c","ce","no"
2577,"balastráid","balastráide","+e",true,3,"d","de","no"
2583,"balcais","balcaise","+e",true,2,"s","se","no"
2585,"balcóin","balcóine","+e",true,2,"n","ne","no"
2594,"ballóg","ballóige","palatalized alt + e",false,2,"óg","óige","no"
2595,"ballóid","ballóide","+e",true,2,"d","de","no"
2604,"balscóid","balscóide","+e",true,2,"d","de","no"
2668,"banlámh","banláimhe","palatalized alt + e",false,2,"ámh","áimhe","no"
2687,"banrach","banraí","aí",false,2,"ach","aí","no"
2712,"baois","baoise","+e",true,1,"s","se","no"
2739,"baracáid","baracáide","+e",true,3,"d","de","no"
2772,"barrachairt","barrachairte","+e",true,3,"t","te","no"
2787,"barrchéim","barrchéime","+e",true,2,"m","me","no"
2801,"barriall","barréille","palatalized alt + e",false,2,"riall","réille","no"
2811,"barróg","barróige","palatalized alt + e",false,2,"óg","óige","no"
2820,"barrthuairisc","barrthuairisce","+e",true,3,"c","ce","no"
2828,"bas","baise","palatalized alt + e",false,1,"as","aise","no"
2862,"báb","báibe","palatalized alt + e",false,1,"áb","áibe","no"
2865,"bábóg","bábóige","palatalized alt + e",false,2,"óg","óige","no"
2866,"bácailít","bácailíte","+e",true,3,"t","te","no"
2874,"báfhuinneog","báfhuinneoige","palatalized alt + e",false,3,"og","oige","no"
2886,"báinseach","báinsí","í",false,2,"seach","sí","yes"
2892,"báirseach","báirsí","í",false,2,"seach","sí","yes"
2896,"báisteach","báistí","í",false,2,"teach","tí","yes"
2915,"bánghlóthach","bánghlóthaí","aí",false,3,"ach","aí","no"
2919,"bánóg","bánóige","palatalized alt + e",false,2,"óg","óige","no"
2938,"beach","beiche","palatalized alt + e",false,1,"each","eiche","yes"
2942,"beachlann","beachlainne","palatalized alt + e",false,2,"ann","ainne","no"
2968,"beaignit","beaignite","+e",true,2,"t","te","no"
2970,"beairic","beairice","+e",true,2,"c","ce","no"
2979,"beann","binne","palatalized + e",false,1,"beann","binne","yes"
3027,"beathaisnéis","beathaisnéise","+e",true,3,"s","se","no"
3042,"beicireil","beicireile","+e",true,3,"l","le","no"
3045,"beil","beile","+e",true,1,"l","le","no"
3047,"beilimnít","beilimníte","+e",true,3,"t","te","no"
3048,"beilt","beilte","+e",true,1,"t","te","no"
3052,"beinifís","beinifíse","+e",true,3,"s","se","no"
3053,"beinséin","beinséine","+e",true,2,"n","ne","no"
